,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
8692,1988-08-23,MRK.US,55.3753,55.6249,54.5,2.8189,3696715.0,4806320.76,2.8331,2.8521,2.7789,2.7606,2.8528,45.9054,0.0033,0.0123,0.0572028216924074,15.6602,30.1382,-0.0001,1.238
8693,1988-08-23,PFE.US,48.312,48.6672,47.9568,0.7322,6134400.0,9682463.7192,0.73,0.7359,0.7541,0.7444,0.7331,49.2858,0.0001,0.0013,0.0099340363419762,0.5431,10.5803,-0.0005,0.9055
8697,1988-08-24,ABT.US,45.1253,46.0004,45.1253,1.1775,5063033.0,7848610.1,1.1564,1.153,1.1601,1.1812,1.1564,56.3732,0.0004,0.0014,0.0208648951628347,2.8382,11.715,0.0026,0.8606
8705,1988-08-24,MRK.US,54.8747,55.6249,54.7502,2.8771,2928322.0,4690596.42,2.8428,2.8516,2.7809,2.7603,2.8537,52.8705,0.0033,0.0123,0.0569503942826475,15.6602,29.104,0.0019,1.2299
8706,1988-08-24,PFE.US,48.312,48.5496,48.0756,0.7322,4372800.0,9629279.7206,0.7311,0.7352,0.7536,0.7444,0.733,49.2858,0.0001,0.0012,0.0099000394159338,0.5431,9.8634,-0.0006,0.8746
8710,1988-08-25,ABT.US,45.3747,45.6244,45.1253,1.1647,4868781.0,7797498.6,1.1573,1.1531,1.1599,1.1813,1.1568,51.9836,0.0005,0.0014,0.0209001033111875,2.8382,11.0809,0.0027,0.8616
8718,1988-08-25,MRK.US,55.125,55.2501,54.7502,2.8448,2966050.0,4667833.86,2.8461,2.8499,2.7826,2.7598,2.8535,49.0926,0.0033,0.0122,0.0564967699573058,15.6602,28.1438,0.0009,1.2045
8719,1988-08-25,PFE.US,48.0756,48.1944,47.6016,0.7286,5438400.0,9596159.7216,0.7309,0.7346,0.7529,0.7445,0.7327,47.2252,0.0001,0.0012,0.009877423568824,8.6093,9.7738,-0.0008,0.8629
8723,1988-08-26,ABT.US,45.4996,46.1251,45.4996,1.1711,4264639.0,7762675.78,1.1593,1.1536,1.1596,1.1812,1.1575,53.9158,0.0005,0.0014,0.0210494606078981,6.9985,10.7893,0.0033,0.8447
8731,1988-08-26,MRK.US,54.7502,55.4998,54.7502,2.8642,2395728.0,4619554.6,2.8512,2.8498,2.7838,2.7591,2.854,51.3416,0.0033,0.0123,0.0562844098937384,11.2717,26.9386,0.0017,1.172
8732,1988-08-26,PFE.US,47.7204,47.9568,47.6016,0.7232,4850400.0,9465119.7254,0.7311,0.7342,0.7519,0.7445,0.7322,44.2374,0.0001,0.0012,0.0098225440965472,8.6093,9.6906,-0.0015,0.8351
8736,1988-08-29,ABT.US,45.8756,46.2499,45.7509,1.1839,4653143.0,7594371.36,1.1647,1.1544,1.1591,1.1809,1.1587,57.5915,0.0005,0.0014,0.0216025743253388,9.3265,10.6848,0.0047,0.82
8744,1988-08-29,MRK.US,54.9999,55.8752,54.5,2.9055,2654165.0,4430637.94,2.8625,2.851,2.7852,2.7584,2.8562,55.8166,0.0033,0.0124,0.0568100478794238,4.8317,25.3596,0.0056,1.1865
8745,1988-08-29,PFE.US,48.0756,48.0756,47.7204,0.7286,4543200.0,9301199.7302,0.7318,0.734,0.7511,0.7445,0.732,47.7943,0.0001,0.0012,0.009835007235671,5.8096,9.4134,-0.0015,0.8008
8749,1988-08-30,ABT.US,46.4994,46.8754,46.3745,1.1967,9297375.0,7639316.68,1.1692,1.1555,1.1583,1.1809,1.1604,60.9461,0.0005,0.0012,0.022667409344916,20.1196,11.3588,0.0068,0.8061
8757,1988-08-30,MRK.US,55.8752,56.1248,55.6249,2.899,3042763.0,4431191.28,2.8692,2.8529,2.7859,2.758,2.8581,54.9599,0.0033,0.0126,0.0570761313148402,0.6602,23.5953,0.008,1.1375
8758,1988-08-30,PFE.US,48.0756,48.312,47.7204,0.7286,5191200.0,9268367.7312,0.732,0.7337,0.7501,0.7444,0.7318,47.7943,0.0001,0.0011,0.0097777061717598,0.2705,8.7603,-0.0016,0.7859
8762,1988-08-31,ABT.US,46.8754,47.0002,46.3745,1.1935,5437280.0,7566783.96,1.1733,1.1567,1.1575,1.1809,1.1619,59.6753,0.0006,0.0011,0.0232686629692978,22.1116,12.1268,0.0081,0.7933
8770,1988-08-31,MRK.US,56.0003,56.1248,54.7502,2.8535,3191789.0,4416904.94,2.8694,2.8535,2.7861,2.7575,2.8581,49.2602,0.0033,0.0126,0.0567490609694619,13.6308,22.8836,0.0062,1.1544
